suite,family,graph_family,hidden_failure,stress_level,scenario,selector,N,selected_score,selected_score_sem,selected_score_ci95_low,selected_score_ci95_high,selected_real_utility,selected_real_utility_sem,selected_real_utility_ci95_low,selected_real_utility_ci95_high,selected_true_target_error,selected_true_target_error_sem,selected_true_target_error_ci95_low,selected_true_target_error_ci95_high,selected_edge_violation,selected_edge_violation_sem,selected_edge_violation_ci95_low,selected_edge_violation_ci95_high,selected_hidden_energy,selected_hidden_energy_sem,selected_hidden_energy_ci95_low,selected_hidden_energy_ci95_high,selected_action_norm,selected_action_norm_sem,selected_action_norm_ci95_low,selected_action_norm_ci95_high,selected_calibration_gap,selected_calibration_gap_sem,selected_calibration_gap_ci95_low,selected_calibration_gap_ci95_high,oracle_regret,oracle_regret_sem,oracle_regret_ci95_low,oracle_regret_ci95_high,oracle_gap_closed_vs_random,oracle_gap_closed_vs_random_sem,oracle_gap_closed_vs_random_ci95_low,oracle_gap_closed_vs_random_ci95_high
stress,controlled_graph_physics,clustered,delayed_damping,medium,long_horizon,constraint_probe,64,-0.14412951764925103,0.008071039105966887,-0.1528481069308111,-0.12833623848037556,-0.1895971481860041,0.006001487718581822,-0.20137512578639274,-0.18283217488613304,0.16609358098656363,0.008819859944784876,0.1499187876065296,0.18203838401095396,0.03707453716742757,0.0108677635371652,0.025532750618434148,0.05842729265126896,0.020900439333253626,0.008361922812454771,0.010814466993934433,0.03674446071641864,0.18182363402307164,0.008739464034829704,0.1665333693595099,0.19681225117483536,0.018923919882640555,0.006752252699502256,0.007291069840725889,0.03055676992455522,0.0005355804612242679,0.0005355804612242679,0.0,0.0016067413836728037,0.981475513146673,0.018524486853326944,0.9444265394400191,1.0
stress,controlled_graph_physics,clustered,delayed_damping,medium,long_horizon,graph_energy_calibrated,1,-0.21755282490746788,0.003243238052064566,-0.22295934858049454,-0.21214630123444123,-0.23538898383445636,0.0023977017159883675,-0.2395123509865282,-0.2312656166823845,0.22649578901548112,0.0011050008025559812,0.22483900798066117,0.22862265691118303,0.00693122207067319,0.002549381959284389,0.0031737986622486585,0.011344645337105885,0.0046396686500990245,0.0022687486986227956,0.0012031033008742353,0.008186527047762314,0.1447322788156195,0.00615004435937091,0.13373224006843806,0.15360436797346433,-0.005908163577918887,0.0033226494521016894,-0.010742257310949382,-4.105974971616022e-05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
stress,controlled_graph_physics,clustered,delayed_damping,medium,long_horizon,graph_energy_calibrated,2,-0.19479155785753743,0.017179676339495045,-0.22061631840214174,-0.15854396769265666,-0.22099377203431164,0.012874482208248989,-0.23676227507883743,-0.19672754760573102,0.21097218255880773,0.015093680874961131,0.18029949371065607,0.22729009434300335,0.009774580975863895,0.005608561131323379,0.003080188095787756,0.021411927634042597,0.00487518140474414,0.0030283861886895034,0.0012031033008742353,0.01080524279276632,0.14811222449484446,0.007847069094985027,0.1354406610699399,0.1603642593319142,0.0021357998530321595,0.005988777451687409,-0.00771641199827644,0.01198801170434076,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
stress,controlled_graph_physics,clustered,delayed_damping,medium,long_horizon,graph_energy_calibrated,4,-0.17853565076632305,0.015513358692652317,-0.20422391941294593,-0.15284738211970017,-0.21352865251922398,0.010582898979108631,-0.22742651336500044,-0.19380784415020758,0.19801010686070614,0.011966729354424405,0.17703120704216102,0.21565664609390142,0.020659119966152717,0.00550133050196049,0.010614894951833619,0.027981751298982387,0.012453777551778077,0.0037083448126591454,0.005165823634023207,0.017693599264819726,0.15991340986446242,0.00676733016630996,0.14821330113483194,0.17287110417912077,0.005782271612485811,0.0059740785203261145,-0.005056941399791598,0.017841575388962493,0.0012262197325549617,0.0012262197325549617,0.0,0.0036786591976648852,0.8592034294146011,0.14079657058539882,0.5776102882438034,1.0
stress,controlled_graph_physics,clustered,delayed_damping,medium,long_horizon,graph_energy_calibrated,8,-0.1628674422515612,0.012915217253431685,-0.1867534096180556,-0.14565185735423328,-0.20392631254354238,0.00899421667793542,-0.2187575791500434,-0.18909504593704135,0.18764772923820605,0.010437200751754262,0.17120683085473112,0.20408862762168095,0.02210701262079774,0.005571831888519806,0.010872799380071563,0.028748380959170546,0.012135695272384658,0.0035633038168303693,0.005654920140059402,0.017647187536630957,0.16769780956730837,0.007866218905070629,0.15455765743125993,0.18083796170335678,0.011098163396635434,0.0052236473266925555,0.002714399322263819,0.020205853092426805,0.0027869075750981895,0.0027869075750981895,0.0,0.008360722725294568,0.8768947541241435,0.12310524587585647,0.6306842623724306,1.0
stress,controlled_graph_physics,clustered,delayed_damping,medium,long_horizon,graph_energy_calibrated,16,-0.14932023051363474,0.0034574216431209203,-0.1562648815044197,-0.14572681820489256,-0.19441242233569933,0.007950010509497054,-0.2081291071280145,-0.18280618553264424,0.17605783988786333,0.0067534574879944955,0.16632357134220738,0.18792884706364724,0.026927873391946192,0.000977464466064632,0.025335381693516932,0.028874063731443064,0.014013136459925482,0.0019187233313169476,0.010626298480308983,0.017693599264819726,0.17768715247116154,0.006906520066213203,0.16331063171307594,0.18815604144038858,0.013291997765439982,0.0035560469824130183,0.007291069840725889,0.019292925690154075,0.0027869075750981895,0.0027869075750981895,0.0,0.008360722725294568,0.8950736509058923,0.10492634909410772,0.6852209527176769,1.0
stress,controlled_graph_physics,clustered,delayed_damping,medium,long_horizon,graph_energy_calibrated,32,-0.14560599699283905,0.0003016580025576753,-0.1460786440529379,-0.14512218094203272,-0.1921610952218254,0.005922633209552192,-0.20149001555751775,-0.18283217488613307,0.17418523241921297,0.005052941883106331,0.16632357134220738,0.1820468934962186,0.026402976042438936,0.0005706426444093593,0.025335381693516932,0.02718332214451291,0.012861138520764013,0.0010901404704722923,0.010672710208497756,0.014191193719146544,0.17810422029659237,0.006918381864590586,0.16653336935950988,0.18728343699622468,0.015264657321945846,0.005179759424791391,0.006931624725213151,0.023588817628611525,0.0005355804612242679,0.0005355804612242679,0.0,0.0016067413836728037,0.9810936867722858,0.01890631322771416,0.9432810603168574,1.0
stress,controlled_graph_physics,clustered,delayed_damping,medium,long_horizon,graph_energy_calibrated,64,-0.1347011018347339,0.0109638229117522,-0.1460786440529379,-0.11290248050923116,-0.1895971481860041,0.006001487718581822,-0.20194261427602556,-0.18283217488613304,0.16609358098656363,0.008819859944784876,0.15502352798943242,0.18203838401095393,0.03707453716742757,0.0108677635371652,0.02520969892124441,0.058840223670389526,0.020900439333253626,0.008361922812454771,0.010814466993934431,0.037791002343927814,0.18182363402307164,0.008739464034829704,0.16653336935950988,0.19472226444918325,0.018923919882640555,0.006752252699502256,0.007291069840725889,0.03055676992455522,0.0005355804612242679,0.0005355804612242679,0.0,0.0016067413836728037,0.981475513146673,0.018524486853326944,0.9444265394400191,1.0
stress,controlled_graph_physics,clustered,delayed_damping,medium,long_horizon,observed_energy_ablation,1,-0.20638672221792168,0.003469549616266451,-0.21211837855466975,-0.20065506588117363,-0.23538898383445636,0.0023977017159883675,-0.2395123509865282,-0.23109132807798555,0.22649578901548112,0.0011050008025559812,0.22470042760447623,0.2282732856452654,0.00693122207067319,0.002549381959284389,0.0031737986622486585,0.011344645337105885,0.0046396686500990245,0.0022687486986227956,0.0012031033008742353,0.008186527047762316,0.1447322788156195,0.00615004435937091,0.13373224006843806,0.1545581962231734,-0.005908163577918887,0.0033226494521016894,-0.010742257310949382,-0.0004099019152917355,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
stress,controlled_graph_physics,clustered,delayed_damping,medium,long_horizon,observed_energy_ablation,2,-0.1838244718207514,0.017179506366716193,-0.2079934736724481,-0.15492850416856957,-0.22099377203431164,0.012874482208248989,-0.23676227507883743,-0.19495342434171303,0.21097218255880773,0.015093680874961131,0.18053127074065478,0.22729009434300335,0.009774580975863895,0.005608561131323379,0.0031737986622486585,0.02071897156995567,0.00487518140474414,0.0030283861886895034,0.0012031033008742353,0.01080524279276632,0.14811222449484446,0.007847069094985027,0.1354406610699399,0.16036425933191417,0.0021357998530321595,0.005988777451687409,-0.008317054255925908,0.01198801170434076,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
stress,controlled_graph_physics,clustered,delayed_damping,medium,long_horizon,observed_energy_ablation,4,-0.1672195396117535,0.015496739191273555,-0.19295422332291776,-0.14148485590058926,-0.21352865251922398,0.010582898979108631,-0.22742651336500044,-0.19380784415020752,0.19801010686070614,0.011966729354424405,0.17946455107787382,0.2169341517126506,0.020659119966152717,0.00550133050196049,0.009643450555295772,0.027981751298982387,0.012453777551778077,0.0037083448126591454,0.005165823634023207,0.017693599264819726,0.15991340986446242,0.00676733016630996,0.14815058673514145,0.17122763446117628,0.005782271612485811,0.0059740785203261145,-0.003333051788059184,0.01611768577723008,0.0012262197325549617,0.0012262197325549617,0.0,0.0036786591976648852,0.8592034294146011,0.14079657058539882,0.5776102882438034,1.0
